variable_name	status	valores	n_nas
p1_4_01	modificada	(0, 1)	0
p1_4_02	modificada	(0, 1)	0
p1_4_03	modificada	(0, 1)	0
p1_4_04	modificada	(0, 1)	0
p1_4_05	modificada	(0, 1)	0
p1_4_06	modificada	(0, 1)	0
p1_4_07	modificada	(0, 1)	0
p1_4_08	modificada	(0, 1)	0
p1_4_09	modificada	(0, 1)	0
p1_4_10	modificada	(0, 1)	0
p2_2	modificada	(0, 1)	0
fuente	modificada	()	20448
filtro_s4_1	modificada	(0, 1)	0
sexo	modificada	(0, 1)	0
p3_6_3	modificada	(0.0, 1.0)	4387
filtro_s5_1	modificada	(0, 1)	0
p5_1	modificada	(0, 1)	0
p5_4	modificada	(0.0, 1.0)	8917
p5_9_1	modificada	(0.0, 1.0)	4853
p5_10_1	modificada	(0, 1)	0
p5_11	modificada	(0, 1)	0
filtro_s5_2	modificada	(0, 1)	0
filtro_s5_3	modificada	(0, 1)	0
p5_20	modificada	(0.0, 1.0)	7130
filtro_s5_3_1	modificada	(0.0, 1.0)	1022
filtro_s5_4	modificada	(0, 1)	0
p6_1_1	modificada	(0, 1)	0
p6_1_2	modificada	(0, 1)	0
p6_1_3	modificada	(0, 1)	0
p6_1_4	modificada	(0, 1)	0
p6_1_5	modificada	(0, 1)	0
p6_1_6	modificada	(0, 1)	0
p6_2_01	modificada	(0, 1)	0
p6_2_02	modificada	(0, 1)	0
p6_2_03	modificada	(0, 1)	0
p6_2_04	modificada	(0, 1)	0
p6_2_05	modificada	(0, 1)	0
p6_2_06	modificada	(0, 1)	0
p6_2_07	modificada	(0, 1)	0
p6_2_08	modificada	(0, 1)	0
p6_2_09	modificada	(0, 1)	0
p6_2_10	modificada	(0, 1)	0
p6_3	modificada	(0.0, 1.0)	7994
filtro_s6_1	modificada	(0, 1)	0
p6_5_1	modificada	(0, 1)	0
p6_5_2	modificada	(0, 1)	0
p6_5_3	modificada	(0, 1)	0
p6_5_4	modificada	(0, 1)	0
p6_5_5	modificada	(0, 1)	0
p6_6_1	modificada	(0, 1)	0
p6_6_2	modificada	(0, 1)	0
p6_6_3	modificada	(0, 1)	0
p6_6_4	modificada	(0, 1)	0
p6_6_5	modificada	(0, 1)	0
p6_6_6	modificada	(0, 1)	0
p6_6_7	modificada	(0, 1)	0
p6_6_8	modificada	(0, 1)	0
p6_6_9	modificada	(0, 1)	0
filtro_s6_2	modificada	(0, 1)	0
p6_7	modificada	(0.0, 1.0)	11399
p6_9	modificada	(0, 1)	0
p6_10_1	modificada	(0.0, 1.0)	14224
p6_10_2	modificada	(0.0, 1.0)	14224
p6_10_3	modificada	(0.0, 1.0)	14224
p6_10_4	modificada	(0.0, 1.0)	14224
p6_10_5	modificada	(0.0, 1.0)	14224
p6_10_6	modificada	(0.0, 1.0)	14224
p6_10_7	modificada	(0.0, 1.0)	14224
p6_10_8	modificada	(0.0, 1.0)	14224
p6_11_1	modificada	(0.0, 1.0)	6224
p6_11_2	modificada	(0.0, 1.0)	6224
p6_11_3	modificada	(0.0, 1.0)	6224
p6_11_4	modificada	(0.0, 1.0)	6224
p6_11_5	modificada	(0.0, 1.0)	6224
p7_1	modificada	(0, 1)	0
p7_2_1	modificada	(0, 1)	0
p7_2_2	modificada	(0, 1)	0
p7_2_3	modificada	(0, 1)	0
p7_2_4	modificada	(0, 1)	0
p7_3	modificada	(0.0, 1.0)	12226
p7_6_1	modificada	(0, 1)	0
p7_6_2	modificada	(0, 1)	0
p7_6_3	modificada	(0, 1)	0
p7_6_4	modificada	(0, 1)	0
p7_6_5	modificada	(0, 1)	0
p7_6_6	modificada	(0, 1)	0
p7_6_7	modificada	(0, 1)	0
p7_6_8	modificada	(0, 1)	0
p8_2_1	modificada	(0, 1)	0
p8_2_2	modificada	(0, 1)	0
p8_2_3	modificada	(0, 1)	0
p8_2_4	modificada	(0, 1)	0
p8_3_01	modificada	(0, 1)	0
p8_3_02	modificada	(0, 1)	0
p8_3_03	modificada	(0, 1)	0
p8_3_04	modificada	(0, 1)	0
p8_3_05	modificada	(0, 1)	0
p8_3_06	modificada	(0, 1)	0
p8_3_07	modificada	(0, 1)	0
p8_3_08	modificada	(0, 1)	0
p8_3_09	modificada	(0, 1)	0
p8_3_10	modificada	(0, 1)	0
p9_3_1	modificada	(0, 1)	0
p9_3_2	modificada	(0, 1)	0
p9_3_3	modificada	(0, 1)	0
p9_3_4	modificada	(0, 1)	0
p9_3_5	modificada	(0, 1)	0
p9_3_6	modificada	(0, 1)	0
p9_3_7	modificada	(0, 1)	0
p10_1	modificada	(0, 1)	0
p10_3	modificada	(0.0, 1.0)	14982
p10_4_1	modificada	(0, 1)	0
p10_4_2	modificada	(0, 1)	0
p10_4_3	modificada	(0, 1)	0
p10_4_4	modificada	(0, 1)	0
p10_4_5	modificada	(0, 1)	0
p10_4_6	modificada	(0, 1)	0
salario_ent	modificada	(0, 1)	0
conf_finan	modificada	(0, 1)	0
gra_control	modificada	(0, 1)	0
orien_fut	modificada	(0, 1)	0
impulsivid	modificada	(0, 1)	0
orien_acci	modificada	(0, 1)	0
optimismo	modificada	(0, 1)	0
gtos_ahorr	modificada	(0, 1)	0
