variable_name	status	valores	n_nas
llaveviv	no_modificada	min=10001601, max=326080020, únicos=20201	0
p1_1	no_modificada	min=1, max=9, únicos=9	0
p1_2	no_modificada	min=1, max=18, únicos=16	0
p1_3	no_modificada	min=0, max=8, únicos=9	0
p1_4_01	modificada	(0, 1)	0
p1_4_02	modificada	(0, 1)	0
p1_4_03	modificada	(0, 1)	0
p1_4_04	modificada	(0, 1)	0
p1_4_05	modificada	(0, 1)	0
p1_4_06	modificada	(0, 1)	0
p1_4_07	modificada	(0, 1)	0
p1_4_08	modificada	(0, 1)	0
p1_4_09	modificada	(0, 1)	0
p1_4_10	modificada	(0, 1)	0
p1_5	no_modificada	min=1, max=9, únicos=6	0
p1_6	no_modificada	(1.0, 2.0, 3.0, 9.0)	6398
p1_7	no_modificada	min=1.0, max=9.0, únicos=7	6398
p1_8_1	no_modificada	(1.0, 2.0, 9.0)	8233
p1_8_2	no_modificada	(1.0, 2.0, 9.0)	8233
p1_8_3	no_modificada	(1.0, 2.0, 9.0)	8233
p1_8_4	no_modificada	(1.0, 2.0, 9.0)	8233
p1_8_5	no_modificada	(1.0, 2.0, 9.0)	8233
p1_9	no_modificada	(1.0, 2.0, 3.0, 9.0)	16188
p1_10	no_modificada	(1.0, 2.0, 9.0)	18552
p2_1	no_modificada	min=1, max=19, únicos=17	0
p2_2	modificada	(0, 1)	0
p2_3	no_modificada	(2.0, 3.0, 4.0, 5.0)	19988
upm	no_modificada	min=100016, max=3260800, únicos=2915	0
viv_sel	no_modificada	min=1, max=24, únicos=24	0
ent	no_modificada	min=1, max=32, únicos=32	0
mun	no_modificada	min=1, max=565, únicos=158	0
tloc	no_modificada	(1, 2, 3, 4)	0
region	no_modificada	(1, 2, 3, 4)	0
fac_viv	no_modificada	min=125, max=72801, únicos=2017	0
upm_dis	no_modificada	min=1, max=2918, únicos=2915	0
est_dis	no_modificada	min=1, max=277, únicos=277	0
fuente	modificada	()	20448
llavehog	no_modificada	min=100016011.0, max=3260800201.0, únicos=20448	0
p4_1_1	no_modificada	(1, 2, 9)	0
p4_1_2	no_modificada	(1, 2, 9)	0
p4_1_3	no_modificada	(1, 2, 9)	0
p4_1_4	no_modificada	(1, 2, 9)	0
p4_1_5	no_modificada	(1, 2, 9)	0
p4_1_6	no_modificada	(1, 2, 9)	0
p4_1_7	no_modificada	(1, 2, 9)	0
p4_1_8	no_modificada	(1, 2, 9)	0
p4_1_9	no_modificada	(1, 2, 9)	0
p4_2	no_modificada	min=200, max=99999, únicos=505	0
p4_3	no_modificada	min=1, max=11, únicos=11	0
filtro_s4_1	modificada	(0, 1)	0
p4_4_1	no_modificada	(1.0, 2.0, 9.0)	3107
p4_4_2	no_modificada	(1.0, 2.0, 9.0)	3107
p4_5_1	no_modificada	(1.0, 2.0, 9.0)	3107
p4_5_2	no_modificada	(1.0, 2.0, 9.0)	3107
p4_5_3	no_modificada	(1.0, 2.0, 9.0)	3107
p4_5_4	no_modificada	(1.0, 2.0, 9.0)	3107
p4_6_1	no_modificada	(1.0, 2.0, 9.0)	3107
p4_6_2	no_modificada	(1.0, 2.0, 9.0)	3107
p4_6_3	no_modificada	(1.0, 2.0, 9.0)	3107
p4_6_4	no_modificada	(1.0, 2.0, 9.0)	3107
p4_6_5	no_modificada	(1.0, 2.0, 9.0)	3107
p4_7_1	no_modificada	(1.0, 2.0, 9.0)	3107
p4_8_1	no_modificada	(1.0, 2.0, 9.0)	15551
p4_7_2	no_modificada	(1.0, 2.0, 9.0)	3107
p4_8_2	no_modificada	(1.0, 2.0, 9.0)	19526
p4_7_3	no_modificada	(1.0, 2.0, 9.0)	3107
p4_8_3	no_modificada	(1.0, 2.0, 9.0)	20049
p4_7_4	no_modificada	(1.0, 2.0, 9.0)	3107
p4_8_4	no_modificada	(1.0, 2.0, 9.0)	20094
p4_9_1	no_modificada	min=1.0, max=6.0, únicos=6	3107
p4_9_2	no_modificada	min=1.0, max=9.0, únicos=7	3107
p4_9_3	no_modificada	min=1.0, max=9.0, únicos=7	3107
p4_9_4	no_modificada	min=1.0, max=9.0, únicos=7	3107
p4_9_5	no_modificada	min=1.0, max=9.0, únicos=7	3107
p4_9_6	no_modificada	min=1.0, max=9.0, únicos=7	3107
p4_10_1	no_modificada	(1, 2, 9)	0
p4_10_2	no_modificada	(1, 2, 9)	0
p4_10_3	no_modificada	(1, 2, 9)	0
p4_10_4	no_modificada	(1, 2, 9)	0
p4_10_5	no_modificada	(1, 2, 9)	0
p4_10_6	no_modificada	(1, 2, 9)	0
hogar	no_modificada	(1, 2, 3, 4, 5)	0
fac_hog	no_modificada	min=126, max=72801, únicos=2017	0
llavesde	no_modificada	min=10001601102.0, max=326080020102.0, únicos=20448	0
paren	no_modificada	min=1, max=8, únicos=8	0
sexo	modificada	(0, 1)	0
edad	no_modificada	min=0, max=99, únicos=100	0
p3_6_1	no_modificada	min=1.0, max=99.0, únicos=32	19379
