variable	tipo	n_valores_unicos	min	max
p1_1	int8	9	1.0	9.0
p1_2	int8	16	1.0	18.0
p1_3	int8	9	0.0	8.0
p2_1	int8	17	1.0	19.0
p8_4	int8	11	0.0	10.0
edad_v	int8	79	18.0	98.0
ingreso_mensual	float64	505	-4.605170185988091	12.951337804082648
gasto_mensual	float64	291	-4.605170185988091	11.512915564921222
fac_ele	int32	5890	126.0	364007.0
pob_objetivo	int64	2	0.0	1.0
p1_4_01	int8	2	1.0	2.0
p1_4_02	int8	2	1.0	2.0
p1_4_03	int8	2	1.0	2.0
p1_4_04	int8	2	1.0	2.0
p1_4_05	int8	2	1.0	2.0
p1_4_06	int8	2	1.0	2.0
p1_4_07	int8	2	1.0	2.0
p1_4_08	int8	2	1.0	2.0
p1_4_09	int8	2	1.0	2.0
p1_4_10	int8	2	1.0	2.0
p1_5	int8	6	1.0	9.0
p2_2	int8	2	1.0	2.0
ent	int8	32	1.0	32.0
tloc	int8	4	1.0	4.0
region	int8	4	1.0	4.0
p4_1_1	int8	3	1.0	9.0
p4_1_2	int8	3	1.0	9.0
p4_1_3	int8	3	1.0	9.0
p4_1_4	int8	3	1.0	9.0
p4_1_5	int8	3	1.0	9.0
p4_1_6	int8	3	1.0	9.0
p4_1_7	int8	3	1.0	9.0
p4_1_8	int8	3	1.0	9.0
p4_1_9	int8	3	1.0	9.0
filtro_s4_1	int8	2	1.0	2.0
p4_10_1	int8	3	1.0	9.0
p4_10_2	int8	3	1.0	9.0
p4_10_3	int8	3	1.0	9.0
p4_10_4	int8	3	1.0	9.0
p4_10_5	int8	3	1.0	9.0
p4_10_6	int8	3	1.0	9.0
sexo	int8	2	1.0	2.0
p5_1	int8	2	1.0	2.0
p5_2_1	int8	5	1.0	9.0
p5_2_2	int8	5	1.0	9.0
p5_2_3	int8	5	1.0	9.0
p5_2_4	int8	5	1.0	9.0
p5_2_5	int8	5	1.0	9.0
p5_2_6	int8	5	1.0	9.0
p5_2_7	int8	5	1.0	9.0
p5_2_8	int8	5	1.0	9.0
p5_3	int8	6	1.0	6.0
p5_5	int8	3	1.0	9.0
p5_10_1	int8	2	1.0	2.0
p5_11	int8	2	1.0	2.0
filtro_s5_2	int8	2	1.0	2.0
filtro_s5_3	int8	2	1.0	2.0
p5_14	int8	9	1.0	9.0
filtro_s5_4	int8	2	1.0	2.0
p6_1_1	int8	2	1.0	2.0
p6_1_2	int8	2	1.0	2.0
p6_1_3	int8	2	1.0	2.0
p6_1_4	int8	2	1.0	2.0
p6_1_5	int8	2	1.0	2.0
p6_1_6	int8	2	1.0	2.0
p6_2_01	int8	2	1.0	2.0
p6_2_02	int8	2	1.0	2.0
p6_2_03	int8	2	1.0	2.0
p6_2_04	int8	2	1.0	2.0
p6_2_05	int8	2	1.0	2.0
p6_2_06	int8	2	1.0	2.0
p6_2_07	int8	2	1.0	2.0
p6_2_08	int8	2	1.0	2.0
p6_2_09	int8	2	1.0	2.0
p6_2_10	int8	2	1.0	2.0
filtro_s6_1	int8	2	1.0	2.0
p6_5_1	int8	2	1.0	2.0
p6_5_2	int8	2	1.0	2.0
p6_5_3	int8	2	1.0	2.0
p6_5_4	int8	2	1.0	2.0
p6_5_5	int8	2	1.0	2.0
p6_6_1	int8	2	1.0	2.0
p6_6_2	int8	2	1.0	2.0
p6_6_3	int8	2	1.0	2.0
p6_6_4	int8	2	1.0	2.0
p6_6_5	int8	2	1.0	2.0
p6_6_6	int8	2	1.0	2.0
p6_6_7	int8	2	1.0	2.0
p6_6_8	int8	2	1.0	2.0
p6_6_9	int8	2	1.0	2.0
filtro_s6_2	int8	2	1.0	2.0
p6_9	int8	2	1.0	2.0
p7_1	int8	2	1.0	2.0
p7_2_1	int8	2	1.0	2.0
p7_2_2	int8	2	1.0	2.0
p7_2_3	int8	2	1.0	2.0
p7_2_4	int8	2	1.0	2.0
p7_6_1	int8	2	1.0	2.0
p7_6_2	int8	2	1.0	2.0
p7_6_3	int8	2	1.0	2.0
p7_6_4	int8	2	1.0	2.0
p7_6_5	int8	2	1.0	2.0
p7_6_6	int8	2	1.0	2.0
p7_6_7	int8	2	1.0	2.0
p7_6_8	int8	2	1.0	2.0
p7_7_1	int8	5	1.0	5.0
p7_7_2	int8	5	1.0	5.0
p7_7_3	int8	5	1.0	5.0
p7_7_4	int8	5	1.0	5.0
p7_7_5	int8	5	1.0	5.0
p7_7_6	int8	5	1.0	5.0
p7_8_1	int8	5	1.0	5.0
p7_8_2	int8	5	1.0	5.0
p7_8_3	int8	5	1.0	5.0
p7_8_4	int8	5	1.0	5.0
p7_8_5	int8	5	1.0	5.0
p7_8_6	int8	5	1.0	5.0
p7_9_1	int8	4	1.0	4.0
p7_9_2	int8	4	1.0	4.0
p7_9_3	int8	4	1.0	4.0
p7_10_01	int8	4	1.0	4.0
p7_10_02	int8	4	1.0	4.0
p7_10_03	int8	4	1.0	4.0
p7_10_04	int8	4	1.0	4.0
p7_10_05	int8	4	1.0	4.0
p7_10_06	int8	4	1.0	4.0
p7_10_07	int8	4	1.0	4.0
p7_10_08	int8	4	1.0	4.0
p7_10_09	int8	4	1.0	4.0
p7_10_10	int8	4	1.0	4.0
p7_10_11	int8	4	1.0	4.0
p7_10_12	int8	4	1.0	4.0
p7_11_1	int8	5	1.0	5.0
p7_11_2	int8	5	1.0	5.0
p7_11_3	int8	5	1.0	5.0
p7_11_4	int8	5	1.0	5.0
p7_12_1	int8	3	1.0	3.0
p7_12_2	int8	3	1.0	3.0
p7_12_3	int8	3	1.0	3.0
p7_12_4	int8	3	1.0	3.0
p7_12_5	int8	3	1.0	3.0
p7_12_6	int8	3	1.0	3.0
p8_1_1	int8	4	1.0	4.0
p8_1_2	int8	4	1.0	4.0
p8_1_3	int8	4	1.0	4.0
p8_1_4	int8	4	1.0	4.0
p8_1_5	int8	4	1.0	4.0
p8_1_6	int8	4	1.0	4.0
p8_2_1	int8	2	1.0	2.0
p8_2_2	int8	2	1.0	2.0
p8_2_3	int8	2	1.0	2.0
p8_2_4	int8	2	1.0	2.0
p8_3_01	int8	2	1.0	2.0
p8_3_02	int8	2	1.0	2.0
p8_3_03	int8	2	1.0	2.0
p8_3_04	int8	2	1.0	2.0
p8_3_05	int8	2	1.0	2.0
p8_3_06	int8	2	1.0	2.0
p8_3_07	int8	2	1.0	2.0
p8_3_08	int8	2	1.0	2.0
p8_3_09	int8	2	1.0	2.0
p8_3_10	int8	2	1.0	2.0
p9_1	int8	10	1.0	10.0
p9_3_1	int8	2	1.0	2.0
p9_3_2	int8	2	1.0	2.0
p9_3_3	int8	2	1.0	2.0
p9_3_4	int8	2	1.0	2.0
p9_3_5	int8	2	1.0	2.0
p9_3_6	int8	2	1.0	2.0
p9_3_7	int8	2	1.0	2.0
p10_1	int8	2	1.0	2.0
p10_4_1	int8	2	1.0	2.0
p10_4_2	int8	2	1.0	2.0
p10_4_3	int8	2	1.0	2.0
p10_4_4	int8	2	1.0	2.0
p10_4_5	int8	2	1.0	2.0
p10_4_6	int8	2	1.0	2.0
niv_bienes	int8	4	1.0	4.0
niv_estres	int8	3	1.0	3.0
conf_finan	int8	2	1.0	2.0
gra_control	int8	2	1.0	2.0
orien_fut	int8	2	1.0	2.0
impulsivid	int8	2	1.0	2.0
orien_acci	int8	2	1.0	2.0
optimismo	int8	2	1.0	2.0
gtos_ahorr	int8	2	1.0	2.0
depen_sum	int8	14	0.0	15.0
p1_6_2.0	int64	2	0.0	1.0
p1_6_3.0	int64	2	0.0	1.0
p1_6_9.0	int64	2	0.0	1.0
p1_6_nan	int64	2	0.0	1.0
p1_7_2.0	int64	2	0.0	1.0
p1_7_3.0	int64	2	0.0	1.0
p1_7_4.0	int64	2	0.0	1.0
p1_7_5.0	int64	2	0.0	1.0
p1_7_6.0	int64	2	0.0	1.0
p1_7_9.0	int64	2	0.0	1.0
p1_7_nan	int64	2	0.0	1.0
p1_8_1_2.0	int64	2	0.0	1.0
p1_8_1_9.0	int64	2	0.0	1.0
p1_8_1_nan	int64	2	0.0	1.0
p1_8_2_2.0	int64	2	0.0	1.0
p1_8_2_9.0	int64	2	0.0	1.0
p1_8_2_nan	int64	2	0.0	1.0
p1_8_3_2.0	int64	2	0.0	1.0
p1_8_3_9.0	int64	2	0.0	1.0
p1_8_3_nan	int64	2	0.0	1.0
p1_8_4_2.0	int64	2	0.0	1.0
p1_8_4_9.0	int64	2	0.0	1.0
p1_8_4_nan	int64	2	0.0	1.0
p1_8_5_2.0	int64	2	0.0	1.0
p1_8_5_9.0	int64	2	0.0	1.0
p1_8_5_nan	int64	2	0.0	1.0
p1_9_2.0	int64	2	0.0	1.0
p1_9_3.0	int64	2	0.0	1.0
p1_9_9.0	int64	2	0.0	1.0
